Emittance (um),Beam Radius (um)
2.0,2.8780328351891122
2.0,5.7560656703782245
2.0,11.512131340756449
2.0,17.268197011134674
2.0,23.024262681512898
2.0,28.78032835189112
2.7021335032035414,3.345292891805859
2.7021335032035414,6.690585783611718
2.7021335032035414,13.381171567223436
2.7021335032035414,20.071757350835156
2.7021335032035414,26.762343134446873
2.7021335032035414,33.45292891805859
3.6507627345675226,3.888414473642189
3.6507627345675226,7.776828947284378
3.6507627345675226,15.553657894568756
3.6507627345675226,23.330486841853133
3.6507627345675226,31.107315789137512
3.6507627345675226,38.88414473642189
4.932424148660941,4.519714000488636
4.932424148660941,9.039428000977273
4.932424148660941,18.078856001954545
4.932424148660941,27.118284002931816
4.932424148660941,36.15771200390909
4.932424148660941,45.197140004886364
6.664034272053467,5.253507511785062
6.664034272053467,10.507015023570125
6.664034272053467,21.01403004714025
6.664034272053467,31.52104507071037
6.664034272053467,42.0280600942805
6.664034272053467,52.535075117850624
9.003555136506149,6.106435312809227
9.003555136506149,12.212870625618454
9.003555136506149,24.425741251236907
9.003555136506149,36.638611876855364
9.003555136506149,48.851482502473814
9.003555136506149,61.064353128092264
12.164403991146802,7.097839328462945
12.164403991146802,14.19567865692589
12.164403991146802,28.39135731385178
12.164403991146802,42.58703597077767
12.164403991146802,56.78271462770356
12.164403991146802,70.97839328462945
16.434921785490324,8.250201721943505
16.434921785490324,16.50040344388701
16.434921785490324,33.00080688777402
16.434921785490324,49.50121033166103
16.434921785490324,66.00161377554804
16.434921785490324,82.50201721943505
22.20467638955159,9.589654724897727
22.20467638955159,19.179309449795454
22.20467638955159,38.35861889959091
22.20467638955159,57.53792834938636
22.20467638955159,76.71723779918182
22.20467638955159,95.89654724897727
30.000000000000004,11.146573240525548
30.000000000000004,22.293146481051096
30.000000000000004,44.58629296210219
30.000000000000004,66.87943944315329
30.000000000000004,89.17258592420438
30.000000000000004,111.46573240525548
